review_text,rating,thumbs_up_count,app_version,source
"the overall experience was very good. one request from my side: kindly add features for investment tracker, such as realised p&l and portfolio trend, comparison of the portfolio performance with the broader market trend for mutual funds.",5,0,,google_play
"in f&o trading, exiting just because we feel like it or waiting to exit only at a specific amount is not a good strategy",1,0,18.14.1,google_play
interface is smooth as butter. love the clean interface,5,0,18.14.1,google_play
"be careful!! this app shows a lower avg buying price from the price you actually bought at, under your holdings section, in delivery orders. it thereby encourages you to sell at a lower price or less margin. this way u loose net money in the sale, since sell when price is lower too , but groww makes money on brokerages. effectively u are losing money. since most groww users are not exactly regular traders, we dont keep track of the exact price we bought, and groww cheats its customers this way!!",1,1,18.14.1,google_play
i having groww application it was great options with services.,5,1,18.14.2,google_play
such a wonderful and easy app for every one,5,0,18.14.1,google_play
"in the financial industry, especially in stockbroking, clear and reliable communication between a broker and its customers is essential. unfortunately, groww's customer support has been extremely poor in my experience. when an investor asks a simple and important question about their money, the support team should provide a clear and direct answer—not vague or repetitive responses. this lack of proper communication seriously damages customer trust.",1,2,18.14.2,google_play
customer care service very poor really i disappointed,1,0,18.14.1,google_play
customer care service is so so pathetic only this app makes us fool,1,0,,google_play
"<LOCATION> top broker ,low cost ,simple interface, very fast broker",5,0,18.14.2,google_play
"the chart doesn't work <URL>ter minimizing it repeatedly, the app works fine again. the charts work fine. then, 10 minutes later, the same problem occurs. i thought, ""oh my god, my phone is having an internet problem."" but it was revealed later. app issue",1,1,18.7.1,google_play
"worst app to invest your mutual funds, i am not getting a proper response from groww customer care regarding my 2nd sip due date(not able to pay manually) they have created 2 ticket with same query but resolution is not provided yet it's been more than 48 hour if anyone hoping for long term investment don't try groww because whenever you got stuck their customer service is unable to provide any proper resolution so don't invest your hard earned money through this broker go for direct amc site",1,1,18.14.2,google_play
currently from last 10 days . apk not working smoothly sometimes it stuck and flash message wait or close apk not responding,3,0,18.14.1,google_play
initially liked <URL> charges for buying share increased,3,0,18.13.2,google_play
happy to trade this broker app it's trusted,5,0,18.14.1,google_play
this app is a fraud customer care doesn't respond even for returning money u have to spend money,1,1,18.14.1,google_play
"brokerage cost high compare to others, if you reduce brokerage cost i will execute more trade...",3,1,18.14.1,google_play
"fraud app, my sip is not processed since over a month now. more than a month now your team unable to help, providing dumb solutions which dont even exist to waste my time. your company cant get on sip processed since 24 june neither giving my money back. updating this review today i.e. 10th august",1,2,18.14.2,google_play
don't know why they removed my refer and earn option without reason and i tried to contact customer service yet there is no response from their side very disappointing it is,1,2,,google_play
it helps me in disciplined investment without any hesitation.,5,1,18.14.1,google_play
good app. wish the team for becoming no 1,5,0,,google_play
"app and it's features are amazing. the only thing missing is other brokers allow to clone app like angel one, zerodha benefit is one doesn't have to log out and log in everytime.i request you to plz allow clone of groww app so one track investment and trading without multiple log in and log out",5,2,18.14.1,google_play
"grow charges maximum brokerage in the market and provides poor services , their app doesn't publish reports on time , app crashes in peak time and their customer support is really poor. ticket number submitted for this 27198284",1,1,18.14.2,google_play
i just wanna say that you can make it more better by adding more bank and banking app like fampay app because many people want to use it by fampay,2,0,18.14.1,google_play
kindly provide multi chart on single screen (multi layout) for all stocks,5,5,18.14.1,google_play
for two days this app has been showing an error while opening the chart and they want you to buy and sell without watching the chart..i have done every possible thing from my side and am still showing an error..even dabba trading broker apps are better than this cheap groww and this is not for the first time something wrong happened with this app.. highly recommend to uninstall this as soon as possible and use some standard broker instead of this.,1,47,18.14.1,google_play
the waiting period for the customer care calls is too lengthy and the brokerage charge is high.,2,2,18.14.1,google_play
"useful but,gain knowledge completely about this before use it.",5,0,18.14.1,google_play
best of the best ui easy to use,5,0,18.14.1,google_play
only one sentence - ladder of financial independence progress.,5,2,18.14.2,google_play
glad i have been introduced to groww. very robust tech i have ever come across in past few years.,5,0,18.14.1,google_play
easy to invest in mf and stocks and user friendly ui. best for beginners,5,0,18.14.1,google_play
please restore the **nifty 50 stocks arrangement by market cap**. the new order is confusing and less useful for tracking the index. a **market cap: high → low** option would be much better.,2,0,18.14.1,google_play
the contacts are being leaked to third party people. have been getting random calls from different people about trading. please look into this issue.,1,1,18.14.1,google_play
this is really a genuine app very good trading results i have done from here all should have download this,5,0,18.13.2,google_play
"i have had a great experience with the groww app. the interface is simple, user-friendly, and easy to navigate. investing and managing investments is very convenient, and the app provides useful information in a clear way. overall, i am satisfied with the experience and would recommend groww to others.",5,2,18.13.2,google_play
"facing new problem .1. all stocks in the money options order rejected by groww. delta 65 from 85 . others app from placing orders no problem. like <PERSON> ,<LOCATION>, angel one etc . stocks like reliance,airtel,voltas,cipla,bajaj fin,bluestar,. liqdity available but rejected order . 2. withdrawal amount deposit time 1 day . others app from deposit time 5 secend s from 1 hours only.",1,0,,google_play
"there should be a review section for mutual funds with categories like 'in-form', 'on-track', and 'out-of-form'; this would make it easier to understand where to invest, where to stop an sip, and where to exit.",4,0,18.13.2,google_play
"i have been a groww user since my first investment journey. i have seen groww improve tremendously while maintaining the simplicity it started with. the way it makes stocks, mutual funds, f&o, bonds and ipos easy to understand is really impressive. it's great to see this journey getting better with regular improvements, while remaining simple enough even for someone with very little knowledge of the financial market.",5,5,18.14.2,google_play
"actually this is a phenomenal app. just like name groww you can also grow by trading with this app. good for beginners. hey groww team "" can you just introduce ai in your app"" this will be very helpful for most of us.",5,8,18.14.1,google_play
"please provide a system default theme i mean dark,light and system default.",3,0,18.14.2,google_play
"the stability and usability of app is decreasing on each update. last session i could see some stocks listed twice in all stocks section. and further you are forcing me to use groww pay, by making it default screen that opens when i open your app. groww today is not something i liked sometime back. maybe with some more updates, you will force us to switch to other investment platforms.",5,9,18.13.2,google_play
"i found the groww app great to use—i've been using it for about three and a half years—but i've run into a problem with adding funds: i can't add more than ₹20,000 per day.",3,1,16.89,google_play
superb app and ui is very user friendly,5,0,18.14.1,google_play
good app. for investment with out zero knowledge.,5,0,18.14.1,google_play
my experience tells me that groww should have been my first mf app. i thank profusely that they have made <LOCATION>'s best investment app.,5,0,18.13.2,google_play
one of best trading platform i ever use,4,0,18.13.2,google_play
